Training neural network with 2000000 games
Training neural network against 2000000 random games...
Games: 1390000, Wins: 8696 (87.0%), Losses: 0 (0.0%), Ties: 1304 (13.0%)
Games: 1400000, Wins: 8660 (86.6%), Losses: 0 (0.0%), Ties: 1340 (13.4%)
Games: 1410000, Wins: 8641 (86.4%), Losses: 0 (0.0%), Ties: 1359 (13.6%)
Games: 1420000, Wins: 8683 (86.8%), Losses: 0 (0.0%), Ties: 1317 (13.2%)
Games: 1430000, Wins: 8694 (86.9%), Losses: 0 (0.0%), Ties: 1306 (13.1%)
Games: 1440000, Wins: 8662 (86.6%), Losses: 0 (0.0%), Ties: 1338 (13.4%)
Games: 1450000, Wins: 8684 (86.8%), Losses: 0 (0.0%), Ties: 1316 (13.2%)
Games: 1460000, Wins: 8662 (86.6%), Losses: 0 (0.0%), Ties: 1338 (13.4%)
Games: 1470000, Wins: 8662 (86.6%), Losses: 0 (0.0%), Ties: 1338 (13.4%)
Games: 1480000, Wins: 8665 (86.7%), Losses: 0 (0.0%), Ties: 1335 (13.3%)
Games: 1490000, Wins: 8646 (86.5%), Losses: 0 (0.0%), Ties: 1354 (13.5%)
Games: 1500000, Wins: 8670 (86.7%), Losses: 0 (0.0%), Ties: 1330 (13.3%)
Games: 1510000, Wins: 8657 (86.6%), Losses: 0 (0.0%), Ties: 1343 (13.4%)
Games: 1520000, Wins: 8655 (86.5%), Losses: 0 (0.0%), Ties: 1345 (13.4%)
Games: 1530000, Wins: 8657 (86.6%), Losses: 0 (0.0%), Ties: 1343 (13.4%)
Games: 1540000, Wins: 8725 (87.2%), Losses: 0 (0.0%), Ties: 1275 (12.8%)
Games: 1550000, Wins: 8616 (86.2%), Losses: 0 (0.0%), Ties: 1384 (13.8%)
Games: 1560000, Wins: 8695 (86.9%), Losses: 0 (0.0%), Ties: 1305 (13.0%)
Games: 1570000, Wins: 8688 (86.9%), Losses: 0 (0.0%), Ties: 1312 (13.1%)
Games: 1580000, Wins: 8591 (85.9%), Losses: 0 (0.0%), Ties: 1409 (14.1%)
Games: 1590000, Wins: 8714 (87.1%), Losses: 0 (0.0%), Ties: 1286 (12.9%)
Games: 1600000, Wins: 8704 (87.0%), Losses: 0 (0.0%), Ties: 1296 (13.0%)
Games: 1610000, Wins: 8684 (86.8%), Losses: 0 (0.0%), Ties: 1316 (13.2%)
Games: 1620000, Wins: 8714 (87.1%), Losses: 0 (0.0%), Ties: 1286 (12.9%)
Games: 1630000, Wins: 8657 (86.6%), Losses: 0 (0.0%), Ties: 1343 (13.4%)
Games: 1640000, Wins: 8732 (87.3%), Losses: 0 (0.0%), Ties: 1268 (12.7%)
Games: 1650000, Wins: 8647 (86.5%), Losses: 0 (0.0%), Ties: 1353 (13.5%)
Games: 1660000, Wins: 8707 (87.1%), Losses: 0 (0.0%), Ties: 1293 (12.9%)
Games: 1670000, Wins: 8707 (87.1%), Losses: 0 (0.0%), Ties: 1293 (12.9%)
Games: 1680000, Wins: 8722 (87.2%), Losses: 0 (0.0%), Ties: 1278 (12.8%)
Games: 1690000, Wins: 8608 (86.1%), Losses: 0 (0.0%), Ties: 1392 (13.9%)
Games: 1700000, Wins: 8711 (87.1%), Losses: 0 (0.0%), Ties: 1289 (12.9%)
Games: 1710000, Wins: 8671 (86.7%), Losses: 0 (0.0%), Ties: 1329 (13.3%)
Games: 1720000, Wins: 8651 (86.5%), Losses: 0 (0.0%), Ties: 1349 (13.5%)
Games: 1730000, Wins: 8685 (86.8%), Losses: 0 (0.0%), Ties: 1315 (13.1%)
Games: 1740000, Wins: 8697 (87.0%), Losses: 0 (0.0%), Ties: 1303 (13.0%)
Games: 1750000, Wins: 8643 (86.4%), Losses: 0 (0.0%), Ties: 1357 (13.6%)
Games: 1760000, Wins: 8722 (87.2%), Losses: 0 (0.0%), Ties: 1278 (12.8%)
Games: 1770000, Wins: 8680 (86.8%), Losses: 0 (0.0%), Ties: 1320 (13.2%)
Games: 1780000, Wins: 8684 (86.8%), Losses: 0 (0.0%), Ties: 1316 (13.2%)
Games: 1790000, Wins: 8612 (86.1%), Losses: 0 (0.0%), Ties: 1388 (13.9%)
Games: 1800000, Wins: 8684 (86.8%), Losses: 0 (0.0%), Ties: 1316 (13.2%)
Games: 1810000, Wins: 8689 (86.9%), Losses: 0 (0.0%), Ties: 1311 (13.1%)
Games: 1820000, Wins: 8696 (87.0%), Losses: 0 (0.0%), Ties: 1304 (13.0%)
Games: 1830000, Wins: 8704 (87.0%), Losses: 0 (0.0%), Ties: 1296 (13.0%)
Games: 1840000, Wins: 8676 (86.8%), Losses: 0 (0.0%), Ties: 1324 (13.2%)
Games: 1850000, Wins: 8695 (86.9%), Losses: 0 (0.0%), Ties: 1305 (13.0%)
Games: 1860000, Wins: 8723 (87.2%), Losses: 0 (0.0%), Ties: 1277 (12.8%)
Games: 1870000, Wins: 8698 (87.0%), Losses: 0 (0.0%), Ties: 1302 (13.0%)
Games: 1880000, Wins: 8649 (86.5%), Losses: 0 (0.0%), Ties: 1351 (13.5%)
Games: 1890000, Wins: 8715 (87.2%), Losses: 0 (0.0%), Ties: 1285 (12.8%)
Games: 1900000, Wins: 8697 (87.0%), Losses: 0 (0.0%), Ties: 1303 (13.0%)
Games: 1910000, Wins: 8723 (87.2%), Losses: 0 (0.0%), Ties: 1277 (12.8%)
Games: 1920000, Wins: 8662 (86.6%), Losses: 0 (0.0%), Ties: 1338 (13.4%)
Games: 1930000, Wins: 8672 (86.7%), Losses: 0 (0.0%), Ties: 1328 (13.3%)
Games: 1940000, Wins: 8722 (87.2%), Losses: 0 (0.0%), Ties: 1278 (12.8%)
Games: 1950000, Wins: 8598 (86.0%), Losses: 0 (0.0%), Ties: 1402 (14.0%)
Games: 1960000, Wins: 8622 (86.2%), Losses: 0 (0.0%), Ties: 1378 (13.8%)
Games: 1970000, Wins: 8668 (86.7%), Losses: 0 (0.0%), Ties: 1332 (13.3%)
Games: 1980000, Wins: 8731 (87.3%), Losses: 0 (0.0%), Ties: 1269 (12.7%)
Games: 1990000, Wins: 8625 (86.2%), Losses: 0 (0.0%), Ties: 1375 (13.8%)
Games: 2000000, Wins: 8635 (86.3%), Losses: 0 (0.0%), Ties: 1365 (13.6%)

Training complete!
Neural network saved to ttt_nn.bin
